lan chay,3x3,4x4,5x5,6x6,7x7,,3,4,5,6,7
1,19670.6367861812,69242.9475224438,63358.8263965668,67821.7200782241,97879.6270448012,,29670.6367861812,79242.9475224438,73358.8263965668,77821.7200782241,107879.627044801
2,28663.2612045707,39942.2657593516,60075.6195255099,120644.229670715,81184.4745684078,,38663.2612045707,49942.2657593517,70075.6195255099,130644.229670715,91184.4745684078
3,24802.4810916394,47000.0438379517,54015.5690659574,40128.5413301931,61248.0271282452,,34802.4810916394,57000.0438379517,64015.5690659574,50128.5413301931,71248.0271282452
4,27895.4300909903,54273.9286837093,71084.9669765843,88512.1751144876,62812.0111071841,,37895.4300909903,64273.9286837093,81084.9669765843,98512.1751144876,72812.0111071841
5,25978.8350071786,68464.9625769001,90877.768326558,48423.456907384,58934.8855911125,,35978.8350071786,78464.9625769001,100877.768326558,58423.456907384,68934.8855911125
6,30812.006326115,40341.1221783852,61199.1808689558,47760.0139897098,42795.3961246199,,40812.006326115,50341.1221783852,71199.1808689558,57760.0139897098,52795.3961246199
7,19544.0331240569,79836.6308959485,82786.30169657,51585.8712771288,97457.2483554828,,29544.0331240569,89836.6308959485,92786.30169657,61585.8712771288,107457.248355483
8,68149.0208876782,39970.6720915308,56147.6142245408,98215.4430698923,66206.2797376991,,78149.0208876782,49970.6720915308,66147.6142245408,108215.443069892,76206.2797376991
9,25359.1376586233,41019.0687199312,84664.0386441399,92458.5807550243,101602.665528139,,35359.1376586233,51019.0687199312,94664.0386441399,102458.580755024,111602.665528139
10,32979.9417431139,41268.0980761536,39560.4604387012,77307.0747441125,101602.665528139,,42979.9417431139,51268.0980761536,49560.4604387012,87307.0747441125,111602.665528139
,,,,,,,,,,,
,30385.4783920147,52135.9740342306,66377.0346164084,73285.7106936871,77172.328071383,,40385.4783920148,62135.9740342306,76377.0346164084,83285.7106936871,87172.328071383
,,,,,,,13945.7755955152,15037.1959677272,15910.6262431228,26561.8050129782,21459.2232331008
